0,10,20,30,40,50,60,70,80,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.35012333653992,116.25671340066243,133.7429876198068,145.69874704271393,151.54390725710928,151.03619380492378,144.18698703069563,131.2538976573128,112.80726359602286,89.89749044424916
260.8463735629001,297.24762619403674,322.8501618433584,337.13404451131976,339.8568425368089,330.9782165576154,310.65159264598356,279.26238378503217,237.58094026134674,187.23843211162944
402.4496175080555,442.58056316529473,468.4118289907786,479.6082155796079,476.0056985102013,457.6498729567994,424.7867980666157,377.83936309397643,317.5265103553229,245.56668729596416
515.876166698448,555.0504963499709,577.6679541524729,583.3197225823003,571.8718772953013,543.5600229304084,498.82456418949664,438.1637004733653,362.2547130132074,273.0228366255232
581.119975300038,614.5395500142835,630.4821684915962,628.3819417852629,608.319600470642,570.9179475077309,516.7482679499416,446.30002369101203,360.29144734467775,261.53978872849353
587.5023773856492,610.9990528967924,617.4160385598051,606.4710373865989,578.5755435718022,534.3671777658072,474.35595145555396,399.04626583895566,309.6559453860659,211.85483947435998
557.8795648626641,568.949956862058,564.2927541512953,544.0294430769295,508.5533756757059,458.3381215413937,393.9035083270446,316.18953565203356,228.5848803605881,144.46938180626165
470.8598019679839,467.39931104628437,450.89134814592506,421.62400406826964,379.98840138010917,326.5178695925092,262.28021643693637,190.41971932392272,121.01552428708658,77.92315411041388
338.3676358800474,319.875650710451,291.92676910686663,255.03150206761282,209.99443931834128,158.50271079456067,104.76066858483682,58.914028289408506,38.72349835238338,54.96418957059164
182.31776958183957,150.42158684766875,113.76486794818489,74.20714796465947,35.29877861116068,3.687484540581463,0.0,0.0,17.948231020261947,36.165538502349825
7.631521031909602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.462023090929838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
